PV_IN;CV;PV_OUT;TIME;Unnamed: 4;Time_s
13,2;0,0;78,86;24/09/2026 12:26;;764,0
13,01;0,0;78,84;24/09/2026 12:26;;765,0
12,88;0,0;78,82;24/09/2026 12:26;;766,0
12,76;0,0;78,79;24/09/2026 12:26;;767,0
12,64;0,0;78,77;24/09/2026 12:26;;768,0
12,53;0,0;78,75;24/09/2026 12:26;;769,0
12,4;0,0;78,72;24/09/2026 12:26;;770,0
12,29;0,0;78,69;24/09/2026 12:26;;771,0
12,18;0,0;78,67;24/09/2026 12:26;;772,0
12,07;0,0;78,65;24/09/2026 12:26;;773,0
11,97;0,0;78,63;24/09/2026 12:26;;774,0
11,87;0,0;78,61;24/09/2026 12:26;;775,0
11,76;0,0;78,57;24/09/2026 12:26;;776,0
11,67;0,0;78,55;24/09/2026 12:26;;777,0
11,57;0,0;78,54;24/09/2026 12:26;;778,0
11,47;0,0;78,51;24/09/2026 12:26;;779,0
11,38;0,0;78,48;24/09/2026 12:26;;780,0
11,27;0,0;78,46;24/09/2026 12:26;;781,0
11,19;0,0;78,44;24/09/2026 12:26;;782,0
11,1;0,0;78,41;24/09/2026 12:26;;783,0
11,02;0,0;78,38;24/09/2026 12:26;;784,0
10,93;0,0;78,36;24/09/2026 12:26;;785,0
10,85;0,0;78,33;24/09/2026 12:26;;786,0
10,77;0,0;78,32;24/09/2026 12:26;;787,0
10,69;0,0;78,28;24/09/2026 12:26;;788,0
10,61;0,0;78,26;24/09/2026 12:26;;789,0
10,53;0,0;78,24;24/09/2026 12:26;;790,0
10,46;0,0;78,22;24/09/2026 12:26;;791,0
10,38;0,0;78,19;24/09/2026 12:26;;792,0
10,3;0,0;78,16;24/09/2026 12:26;;793,0
10,25;0,0;78,13;24/09/2026 12:26;;794,0
10,18;0,0;78,12;24/09/2026 12:26;;795,0
10,1;0,0;78,09;24/09/2026 12:26;;796,0
10,04;0,0;78,07;24/09/2026 12:26;;797,0
9,97;0,0;78,04;24/09/2026 12:26;;798,0
9,91;0,0;78,02;24/09/2026 12:27;;799,0
9,85;0,0;77,99;24/09/2026 12:27;;800,0
9,79;0,0;77,96;24/09/2026 12:27;;801,0
9,72;0,0;77,93;24/09/2026 12:27;;802,0
9,66;0,0;77,91;24/09/2026 12:27;;803,0
9,62;0,0;77,88;24/09/2026 12:27;;804,0
9,55;0,0;77,85;24/09/2026 12:27;;805,0
9,49;0,0;77,82;24/09/2026 12:27;;806,0
9,46;0,0;77,8;24/09/2026 12:27;;807,0
9,39;0,0;77,78;24/09/2026 12:27;;808,0
9,33;0,0;77,74;24/09/2026 12:27;;809,0
9,28;0,0;77,71;24/09/2026 12:27;;810,0
9,24;0,0;77,69;24/09/2026 12:27;;811,0
9,18;0,0;77,65;24/09/2026 12:27;;812,0
9,14;0,0;77,62;24/09/2026 12:27;;813,0
9,08;0,0;77,6;24/09/2026 12:27;;814,0
9,05;0,0;77,57;24/09/2026 12:27;;815,0
9,0;0,0;77,54;24/09/2026 12:27;;816,0
8,95;0,0;77,69;24/09/2026 12:27;;817,0
8,91;0,0;77,91;24/09/2026 12:27;;818,0
8,86;0,0;78,16;24/09/2026 12:27;;819,0
8,86;0,0;78,16;24/09/2026 12:27;;820,0
8,83;0,0;78,42;24/09/2026 12:27;;821,0
8,79;0,0;78,67;24/09/2026 12:27;;822,0
8,75;0,0;78,87;24/09/2026 12:27;;823,0
8,72;0,0;79,05;24/09/2026 12:27;;824,0
8,69;0,0;79,2;24/09/2026 12:27;;825,0
8,67;0,0;79,31;24/09/2026 12:27;;826,0
8,64;0,0;79,45;24/09/2026 12:27;;827,0
8,61;0,0;79,55;24/09/2026 12:27;;828,0
8,59;0,0;79,66;24/09/2026 12:27;;829,0
8,56;0,0;79,73;24/09/2026 12:27;;830,0
8,54;0,0;79,82;24/09/2026 12:27;;831,0
8,51;0,0;79,89;24/09/2026 12:27;;832,0
8,48;0,0;79,97;24/09/2026 12:27;;833,0
8,46;0,0;80,02;24/09/2026 12:27;;834,0
8,44;0,0;80,08;24/09/2026 12:27;;835,0
8,42;0,0;80,12;24/09/2026 12:27;;836,0
8,41;0,0;80,15;24/09/2026 12:27;;837,0
8,38;0,0;80,15;24/09/2026 12:27;;838,0
8,36;0,0;80,13;24/09/2026 12:27;;839,0
8,34;0,0;80,11;24/09/2026 12:27;;840,0
8,32;0,0;80,08;24/09/2026 12:27;;841,0
8,3;0,0;80,02;24/09/2026 12:27;;842,0
8,28;0,0;79,96;24/09/2026 12:27;;843,0
8,26;0,0;79,9;24/09/2026 12:27;;844,0
8,25;0,0;79,85;24/09/2026 12:27;;845,0
8,23;0,0;79,79;24/09/2026 12:27;;846,0
8,21;0,0;79,75;24/09/2026 12:27;;847,0
8,19;0,0;79,69;24/09/2026 12:27;;848,0
8,17;0,0;79,66;24/09/2026 12:27;;849,0
8,16;0,0;79,6;24/09/2026 12:27;;850,0
8,14;0,0;79,56;24/09/2026 12:27;;851,0
8,12;0,0;79,52;24/09/2026 12:27;;852,0
8,11;0,0;79,48;24/09/2026 12:27;;853,0
8,08;0,0;79,44;24/09/2026 12:27;;854,0
8,07;0,0;79,4;24/09/2026 12:27;;855,0
8,05;0,0;79,36;24/09/2026 12:27;;856,0
8,05;0,0;79,32;24/09/2026 12:27;;857,0
8,02;0,0;79,29;24/09/2026 12:27;;858,0
8,0;0,0;79,26;24/09/2026 12:28;;859,0
7,99;0,0;79,23;24/09/2026 12:28;;860,0
7,98;0,0;79,19;24/09/2026 12:28;;861,0
7,96;0,0;79,16;24/09/2026 12:28;;862,0
7,94;0,0;79,14;24/09/2026 12:28;;863,0
7,93;0,0;79,1;24/09/2026 12:28;;864,0
7,91;0,0;79,06;24/09/2026 12:28;;865,0
7,9;0,0;79,04;24/09/2026 12:28;;866,0
7,89;0,0;79,02;24/09/2026 12:28;;867,0
7,87;0,0;78,99;24/09/2026 12:28;;868,0
7,86;0,0;78,96;24/09/2026 12:28;;869,0
7,85;0,0;78,94;24/09/2026 12:28;;870,0
7,84;0,0;78,9;24/09/2026 12:28;;871,0
7,83;0,0;78,87;24/09/2026 12:28;;872,0
7,81;0,0;78,86;24/09/2026 12:28;;873,0
7,8;0,0;78,84;24/09/2026 12:28;;874,0
7,79;0,0;78,82;24/09/2026 12:28;;875,0
7,77;0,0;78,79;24/09/2026 12:28;;876,0
7,76;0,0;78,76;24/09/2026 12:28;;877,0
7,75;0,0;78,74;24/09/2026 12:28;;878,0
7,74;0,0;78,72;24/09/2026 12:28;;879,0
7,73;0,0;78,69;24/09/2026 12:28;;880,0
7,72;0,0;78,67;24/09/2026 12:28;;881,0
7,7;0,0;78,64;24/09/2026 12:28;;882,0
7,7;0,0;78,64;24/09/2026 12:28;;883,0
7,7;0,0;78,62;24/09/2026 12:28;;884,0
7,69;0,0;78,59;24/09/2026 12:28;;885,0
7,68;0,0;78,57;24/09/2026 12:28;;886,0
7,67;0,0;78,55;24/09/2026 12:28;;887,0
7,65;0,0;78,53;24/09/2026 12:28;;888,0
7,64;0,0;78,51;24/09/2026 12:28;;889,0
7,64;0,0;78,48;24/09/2026 12:28;;890,0
7,63;0,0;78,46;24/09/2026 12:28;;891,0
7,62;0,0;78,44;24/09/2026 12:28;;892,0
7,61;0,0;78,42;24/09/2026 12:28;;893,0
7,6;0,0;78,38;24/09/2026 12:28;;894,0
7,59;0,0;78,37;24/09/2026 12:28;;895,0
7,58;0,0;78,34;24/09/2026 12:28;;896,0
7,58;0,0;78,33;24/09/2026 12:28;;897,0
7,56;0,0;78,3;24/09/2026 12:28;;898,0
7,55;0,0;78,27;24/09/2026 12:28;;899,0
7,54;0,0;78,26;24/09/2026 12:28;;900,0
7,53;0,0;78,23;24/09/2026 12:28;;901,0
7,53;0,0;78,21;24/09/2026 12:28;;902,0
7,52;0,0;78,19;24/09/2026 12:28;;903,0
7,51;0,0;78,17;24/09/2026 12:28;;904,0
7,51;0,0;78,14;24/09/2026 12:28;;905,0
7,5;0,0;78,12;24/09/2026 12:28;;906,0
7,49;0,0;78,09;24/09/2026 12:28;;907,0
7,48;0,0;78,06;24/09/2026 12:28;;908,0
7,47;0,0;78,04;24/09/2026 12:28;;909,0
7,47;0,0;78,02;24/09/2026 12:28;;910,0
7,45;0,0;78,01;24/09/2026 12:28;;911,0
7,45;0,0;77,97;24/09/2026 12:28;;912,0
7,44;0,0;77,94;24/09/2026 12:28;;913,0
7,43;0,0;77,92;24/09/2026 12:28;;914,0
7,43;0,0;77,9;24/09/2026 12:28;;915,0
7,42;0,0;77,86;24/09/2026 12:28;;916,0
7,42;0,0;77,84;24/09/2026 12:28;;917,0
7,41;0,0;77,81;24/09/2026 12:28;;918,0
7,4;0,0;77,79;24/09/2026 12:29;;919,0
7,4;0,0;77,75;24/09/2026 12:29;;920,0
7,39;0,0;77,74;24/09/2026 12:29;;921,0
7,38;0,0;77,71;24/09/2026 12:29;;922,0
7,37;0,0;77,68;24/09/2026 12:29;;923,0
7,37;0,0;77,65;24/09/2026 12:29;;924,0
7,36;0,0;77,63;24/09/2026 12:29;;925,0
7,35;0,0;77,6;24/09/2026 12:29;;926,0
7,35;0,0;77,58;24/09/2026 12:29;;927,0
7,34;0,0;77,54;24/09/2026 12:29;;928,0
7,34;0,0;77,51;24/09/2026 12:29;;929,0
7,32;0,0;77,49;24/09/2026 12:29;;930,0
7,32;0,0;77,47;24/09/2026 12:29;;931,0
7,31;0,0;77,45;24/09/2026 12:29;;932,0
7,31;0,0;77,62;24/09/2026 12:29;;933,0
7,31;0,0;77,82;24/09/2026 12:29;;934,0
7,31;0,0;78,1;24/09/2026 12:29;;935,0
7,3;0,0;78,35;24/09/2026 12:29;;936,0
7,3;0,0;78,35;24/09/2026 12:29;;937,0
7,3;0,0;78,62;24/09/2026 12:29;;938,0
7,3;0,0;78,82;24/09/2026 12:29;;939,0
7,31;0,0;78,99;24/09/2026 12:29;;940,0
7,3;0,0;79,14;24/09/2026 12:29;;941,0
7,31;0,0;79,26;24/09/2026 12:29;;942,0
7,31;0,0;79,37;24/09/2026 12:29;;943,0
7,31;0,0;79,48;24/09/2026 12:29;;944,0
7,32;0,0;79,57;24/09/2026 12:29;;945,0
7,32;0,0;79,67;24/09/2026 12:29;;946,0
7,32;0,0;79,75;24/09/2026 12:29;;947,0
7,33;0,0;79,82;24/09/2026 12:29;;948,0
7,33;0,0;79,89;24/09/2026 12:29;;949,0
7,34;0,0;79,96;24/09/2026 12:29;;950,0
7,34;0,0;80,01;24/09/2026 12:29;;951,0
7,35;0,0;80,06;24/09/2026 12:29;;952,0
7,35;0,0;80,08;24/09/2026 12:29;;953,0
7,36;0,0;80,08;24/09/2026 12:29;;954,0
7,36;0,0;80,07;24/09/2026 12:29;;955,0
7,37;0,0;80,04;24/09/2026 12:29;;956,0
7,37;0,0;80,0;24/09/2026 12:29;;957,0
7,37;0,0;79,96;24/09/2026 12:29;;958,0
7,37;0,0;79,89;24/09/2026 12:29;;959,0
7,37;0,0;79,83;24/09/2026 12:29;;960,0
7,37;0,0;79,78;24/09/2026 12:29;;961,0
7,38;0,0;79,72;24/09/2026 12:29;;962,0
7,38;0,0;79,67;24/09/2026 12:29;;963,0
7,38;0,0;79,63;24/09/2026 12:29;;964,0
7,38;0,0;79,58;24/09/2026 12:29;;965,0
7,39;0,0;79,55;24/09/2026 12:29;;966,0
7,39;0,0;79,5;24/09/2026 12:29;;967,0
7,39;0,0;79,46;24/09/2026 12:29;;968,0
7,38;0,0;79,42;24/09/2026 12:29;;969,0
7,39;0,0;79,38;24/09/2026 12:29;;970,0
7,39;0,0;79,35;24/09/2026 12:29;;971,0
7,38;0,0;79,3;24/09/2026 12:29;;972,0
7,38;0,0;79,27;24/09/2026 12:29;;973,0
7,38;0,0;79,24;24/09/2026 12:29;;974,0
7,38;0,0;79,2;24/09/2026 12:29;;975,0
7,37;0,0;79,17;24/09/2026 12:29;;976,0
7,37;0,0;79,14;24/09/2026 12:29;;977,0
7,37;0,0;79,1;24/09/2026 12:29;;978,0
7,37;0,0;79,07;24/09/2026 12:30;;979,0
7,37;0,0;79,04;24/09/2026 12:30;;980,0
7,37;0,0;79,02;24/09/2026 12:30;;981,0
7,37;0,0;78,98;24/09/2026 12:30;;982,0
7,37;0,0;78,96;24/09/2026 12:30;;983,0
7,37;0,0;78,92;24/09/2026 12:30;;984,0
7,36;0,0;78,9;24/09/2026 12:30;;985,0
7,36;0,0;78,87;24/09/2026 12:30;;986,0
7,36;0,0;78,85;24/09/2026 12:30;;987,0
7,36;0,0;78,82;24/09/2026 12:30;;988,0
7,36;0,0;78,79;24/09/2026 12:30;;989,0
7,36;0,0;78,77;24/09/2026 12:30;;990,0
7,36;0,0;78,77;24/09/2026 12:30;;991,0
7,35;0,0;78,75;24/09/2026 12:30;;992,0
